stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,stop_short_name
104469,Northbound Copperhead at Lodgepole,50.6524629961855,-120.396949999676,104469,0,,Northbound Copperhead at Lodgepole
104470,Northbound Copperhead at Hugh Allan,50.6537049962026,-120.39834299936001,104470,0,,Northbound Copperhead at Hugh Allan
104471,Northbound Copperhead at Kryczka,50.657165996046,-120.401131999368,104471,0,,Northbound Copperhead at Kryczka
104472,Northbound Copperhead at Versatile,50.6591749963436,-120.399860000084,104472,0,,Northbound Copperhead at Versatile
104473,Eastbound Hillside at Copperhead,50.661725995997095,-120.397765999453,104473,0,,Eastbound Hillside at Copperhead
104474,Eastbound 1860 block Hillside,50.660782995866796,-120.393313999715,104474,0,,Eastbound 1860 block Hillside
104475,Eastbound Hillside at Davies,50.6583659958177,-120.38826399994201,104475,0,,Eastbound Hillside at Davies
104476,Eastbound Hillside at Mount Dufferin Cres,50.65737799567739,-120.386246999552,104476,0,,Eastbound Hillside at Mount Dufferin Cres
104477,Eastbound Hillside at Mount Dufferin Ave,50.6560819964444,-120.38264499972802,104477,0,,Eastbound Hillside at Mount Dufferin Ave
104478,Eastbound Hillside at Cannel,50.6553729956977,-120.37994899958301,104478,0,,Eastbound Hillside at Cannel
104479,Lansdowne Exchange Bay D,50.676850996532494,-120.32564500060201,104479,0,800004,Lansdowne Exchange Bay D
104480,Eastbound Columbia at 4th Ave,50.6712959960134,-120.331429000278,104480,0,,Eastbound Columbia at 4th Ave
104481,Eastbound Columbia at 5th Ave,50.6712879964939,-120.329303999619,104481,0,,Eastbound Columbia at 5th Ave
104483,Southbound 7th Ave at Columbia,50.6710089959759,-120.32439899934101,104483,0,,Southbound 7th Ave at Columbia
104484,Southbound 7th Ave at Pine,50.6694219960766,-120.32440000004101,104484,0,,Southbound 7th Ave at Pine
104485,Southbound 7th Ave at Munro,50.6669409958158,-120.32444700006201,104485,0,,Southbound 7th Ave at Munro
104486,Southbound 6th Ave at Cowan,50.665729995864,-120.32746700070001,104486,0,,Southbound 6th Ave at Cowan
